UCG-ID,use case group,UC-ID,use case ,description
1,Terminology generation and management,1.1,Semantic modelling,Develop formal terminologies to represent the concepts being described and the relationships between those concepts.
1,Terminology generation and management,1.2,Terminology management,Gather/curate and maintain the individual terms within a terminology.
1,Terminology generation and management,1.3,Semantic alignment,Create mappings between terminologies using established relationships. Record and preserve the mappings.
1,Terminology generation and management,1.4,Terminology search,Search for relevant terminologies and/or terms within terminologies. Retrieve the search results.
1,Terminology generation and management,1.5,Multilingual concepts,Provide multilingual representations of the concepts within a terminology.
2,Resource annotation,2.1,Data annotation,Manual or automated process for annotation of column headers/fields and streams. Could be done in real- or near-real time when the data are generated and subsequently transformed or in delayed mode.
2,Resource annotation,2.2,Metadata annotation,Manual or automated process for annotation of metadata records related to datasets. This is not coupled with data creation.
2,Resource annotation,2.3,Annotation service provision,provision of annotation tools and services
3,Data discovery and exploration,3.1,Keyword semantic data search,Data discovery based on keywords that come from a controlled vocabulary
3,Data discovery and exploration,3.2,Facet semantic data search,Data discovery based on semantic classifications.
4,Data manipulation and integration,4.1,Data integration,Combine datasets from various sources based on semantic information
4,Data manipulation and integration,4.2,Data model alignment,Harmonize different data models
4,Data manipulation and integration,4.3,Data validation,Use semantic information to check data
4,Data manipulation and integration,4.4,Data product development,Generate output by integrating several datasets
4,Data manipulation and integration,4.5,Data mining and AI,Discovering patterns in large data sets